Page,File Base Name
42,dropModel
53,madCall
56,madMatch
57,perpOperator
70,binaryCount
75,recoverHandler
89,dowNames
118,undefinedGets
119,undefinedVector
127,IQclosure
129,IQreplace
147,indexingFirst
148,replaceChar
149,replaceLong
163,bitRepExample
165,binaryRep
169,weather1CSV
177,marsRead
182,weather1CSV
193,binaryRep_45
193,binaryRep_3_15
197,numericComparison
208,triDiag
209,triDiag2
211,triDiag3
232,randomSlippageTest
250,plotGPSArrows
250,trackArrows
252,arrowFactor
252,plotGPSTrackMethod
253,plotGPSArrows2
297,splitRepeated
303,baseOpFuns
306,dropFormula
317,PerlChunks
319,stateCities.txt
319,readRepeated
321,PerlReadRepeated
322,dateStuff
327,fieldsToLines
329,PerlFieldsToLines
333,GPSTrackFrag1
343,GPSTrackClass
360,trackInitialize
367,dataFrameAsDataFrame
374,binaryCount
379,cloudsModelFrame
392,trackInitialize
394,subsetMethodTrack
395,trackInitialize
402,implicitWith
402,implicitUpdate
404,trackEqualMethods
405,trackCompareMethods
415,geodistvHead
420,geoXY
427,SoDAinit
434,quoteWords
464,showPrimTypes
